SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season
42000,951,0040000082,"JUN 03, 2001",MIL @ PHI,L,37,8,18,0.444,4,7,0.571,6,6,1.0,0,2,2,6,0,0,3,1,26,-11,0,951,Ray Allen,2000-01
42000,951,0040000081,"JUN 01, 2001",MIL vs. PHI,W,43,12,25,0.48,9,13,0.692,8,8,1.0,0,2,2,4,3,0,2,4,41,9,0,951,Ray Allen,2000-01
42000,951,0040000080,"MAY 30, 2001",MIL @ PHI,L,43,8,20,0.4,2,8,0.25,2,2,1.0,2,1,3,4,1,0,3,2,20,-8,0,951,Ray Allen,2000-01
42000,951,0040000079,"MAY 28, 2001",MIL vs. PHI,L,41,5,14,0.357,2,6,0.333,2,2,1.0,0,2,2,6,1,1,2,3,14,-15,0,951,Ray Allen,2000-01
42000,951,0040000078,"MAY 26, 2001",MIL vs. PHI,W,44,6,18,0.333,0,4,0.0,8,8,1.0,1,4,5,5,0,1,3,4,20,4,0,951,Ray Allen,2000-01
42000,951,0040000077,"MAY 24, 2001",MIL @ PHI,W,43,15,24,0.625,7,11,0.636,1,2,0.5,1,5,6,6,0,1,0,2,38,24,0,951,Ray Allen,2000-01
42000,951,0040000076,"MAY 22, 2001",MIL @ PHI,L,42,12,22,0.545,4,6,0.667,3,3,1.0,2,1,3,7,1,1,2,4,31,1,0,951,Ray Allen,2000-01
42000,951,0040000048,"MAY 20, 2001",MIL vs. CHH,W,46,10,18,0.556,2,6,0.333,6,6,1.0,2,4,6,5,0,2,4,4,28,8,0,951,Ray Allen,2000-01
42000,951,0040000047,"MAY 17, 2001",MIL @ CHH,W,43,10,19,0.526,3,6,0.5,0,0,0.0,0,3,3,5,1,0,3,2,23,7,0,951,Ray Allen,2000-01
42000,951,0040000046,"MAY 15, 2001",MIL vs. CHH,L,45,6,18,0.333,2,8,0.25,6,8,0.75,2,4,6,7,3,1,2,1,20,0,0,951,Ray Allen,2000-01
42000,951,0040000045,"MAY 13, 2001",MIL @ CHH,L,43,7,17,0.412,3,8,0.375,2,2,1.0,2,4,6,10,1,1,6,2,19,-3,0,951,Ray Allen,2000-01
42000,951,0040000044,"MAY 10, 2001",MIL @ CHH,L,42,7,18,0.389,4,8,0.5,2,2,1.0,1,1,2,7,0,0,2,3,20,-2,0,951,Ray Allen,2000-01
42000,951,0040000042,"MAY 08, 2001",MIL vs. CHH,W,46,10,18,0.556,4,7,0.571,4,5,0.8,1,2,3,9,1,0,5,1,28,3,0,951,Ray Allen,2000-01
42000,951,0040000041,"MAY 06, 2001",MIL vs. CHH,W,42,9,22,0.409,3,7,0.429,5,6,0.833,0,2,2,6,2,0,2,5,26,17,0,951,Ray Allen,2000-01
42000,951,0040000029,"MAY 01, 2001",MIL @ ORL,W,43,9,13,0.692,2,2,1.0,6,6,1.0,1,4,5,2,1,0,1,2,26,9,0,951,Ray Allen,2000-01
42000,951,0040000020,"APR 28, 2001",MIL @ ORL,L,49,11,20,0.55,2,6,0.333,3,3,1.0,0,3,3,6,3,1,2,2,27,-2,0,951,Ray Allen,2000-01
42000,951,0040000013,"APR 25, 2001",MIL vs. ORL,W,40,7,12,0.583,2,3,0.667,11,13,0.846,2,8,10,7,3,1,1,0,27,11,0,951,Ray Allen,2000-01
42000,951,0040000006,"APR 22, 2001",MIL vs. ORL,W,36,6,15,0.4,2,3,0.667,4,4,1.0,2,3,5,6,3,0,0,2,18,14,0,951,Ray Allen,2000-01
42000,1747,0040000082,"JUN 03, 2001",MIL @ PHI,L,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1747,Rafer Alston,2000-01
42000,1747,0040000081,"JUN 01, 2001",MIL vs. PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2,0,1747,Rafer Alston,2000-01
42000,1747,0040000077,"MAY 24, 2001",MIL @ PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-5,0,1747,Rafer Alston,2000-01
42000,1747,0040000076,"MAY 22, 2001",MIL @ PHI,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1747,Rafer Alston,2000-01
42000,1747,0040000006,"APR 22, 2001",MIL vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1747,Rafer Alston,2000-01
42000,680,0040000029,"MAY 01, 2001",ORL vs. MIL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,0,680,John Amaechi,2000-01
42000,680,0040000020,"APR 28, 2001",ORL vs. MIL,W,7,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,0,2,0,0,4,2,0,680,John Amaechi,2000-01
42000,680,0040000013,"APR 25, 2001",ORL @ MIL,L,6,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-3,0,680,John Amaechi,2000-01
42000,680,0040000006,"APR 22, 2001",ORL @ MIL,L,14,1,4,0.25,0,0,0.0,3,4,0.75,1,1,2,2,2,0,0,2,5,1,0,680,John Amaechi,2000-01
42000,1507,0040000072,"MAY 27, 2001",SAS @ LAL,L,12,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,2,0,2,-17,0,1507,Derek Anderson,2000-01
42000,1507,0040000071,"MAY 25, 2001",SAS @ LAL,L,29,0,8,0.0,0,3,0.0,2,2,1.0,1,2,3,1,1,0,0,1,2,-29,0,1507,Derek Anderson,2000-01
42000,1507,0040000055,"MAY 05, 2001",SAS vs. DAL,W,17,1,4,0.25,1,3,0.333,3,5,0.6,0,0,0,2,0,0,0,1,6,10,0,1507,Derek Anderson,2000-01
42000,1507,0040000025,"APR 30, 2001",SAS @ MIN,W,29,0,4,0.0,0,0,0.0,4,5,0.8,1,4,5,6,0,0,3,1,4,18,0,1507,Derek Anderson,2000-01
42000,1507,0040000019,"APR 28, 2001",SAS @ MIN,L,42,6,16,0.375,1,6,0.167,3,3,1.0,1,2,3,4,1,0,2,5,16,-12,0,1507,Derek Anderson,2000-01
42000,1507,0040000010,"APR 23, 2001",SAS vs. MIN,W,29,5,14,0.357,2,5,0.4,0,0,0.0,0,5,5,2,1,0,3,1,12,22,0,1507,Derek Anderson,2000-01
42000,1507,0040000002,"APR 21, 2001",SAS vs. MIN,W,36,4,13,0.308,2,4,0.5,2,4,0.5,0,2,2,2,0,0,5,1,12,4,0,1507,Derek Anderson,2000-01
42000,21,0040000022,"APR 29, 2001",POR vs. LAL,L,12,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,1,0,1,2,3,-11,0,21,Greg Anthony,2000-01
42000,21,0040000015,"APR 26, 2001",POR @ LAL,L,5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,4,0,21,Greg Anthony,2000-01
42000,353,0040000029,"MAY 01, 2001",ORL vs. MIL,L,44,4,13,0.308,4,8,0.5,4,4,1.0,2,6,8,8,1,1,3,3,16,-19,0,353,Darrell Armstrong,2000-01
42000,353,0040000020,"APR 28, 2001",ORL vs. MIL,W,49,6,13,0.462,2,5,0.4,4,4,1.0,2,8,10,4,2,1,4,0,18,8,0,353,Darrell Armstrong,2000-01
42000,353,0040000013,"APR 25, 2001",ORL @ MIL,L,36,4,10,0.4,0,2,0.0,2,3,0.667,0,1,1,4,3,0,2,3,10,-3,0,353,Darrell Armstrong,2000-01
42000,353,0040000006,"APR 22, 2001",ORL @ MIL,L,38,3,9,0.333,1,4,0.25,2,2,1.0,1,2,3,3,2,0,2,4,9,-11,0,353,Darrell Armstrong,2000-01
42000,278,0040000015,"APR 26, 2001",POR @ LAL,L,12,0,4,0.0,0,0,0.0,1,1,1.0,1,3,4,2,0,0,0,2,1,-6,0,278,Stacey Augmon,2000-01
42000,278,0040000005,"APR 22, 2001",POR @ LAL,L,16,4,6,0.667,0,0,0.0,1,1,1.0,0,0,0,2,1,0,1,1,9,3,0,278,Stacey Augmon,2000-01
42000,1895,0040000019,"APR 28, 2001",MIN vs. SAS,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,1895,William Avery,2000-01
42000,1895,0040000010,"APR 23, 2001",MIN @ SAS,L,9,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,7,8,0,1895,William Avery,2000-01
42000,468,0040000050,"MAY 11, 2001",SAC vs. LAL,L,12,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2,-11,0,468,Jon Barry,2000-01
42000,468,0040000049,"MAY 08, 2001",SAC @ LAL,L,12,3,5,0.6,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,3,7,12,0,468,Jon Barry,2000-01
42000,468,0040000043,"MAY 06, 2001",SAC @ LAL,L,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3,0,468,Jon Barry,2000-01
42000,468,0040000030,"MAY 02, 2001",SAC @ PHX,W,5,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-2,0,468,Jon Barry,2000-01
42000,468,0040000023,"APR 29, 2001",SAC @ PHX,W,8,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,2,2,4,7,0,468,Jon Barry,2000-01
42000,468,0040000014,"APR 25, 2001",SAC vs. PHX,W,9,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,-2,0,468,Jon Barry,2000-01
42000,468,0040000007,"APR 22, 2001",SAC vs. PHX,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,468,Jon Barry,2000-01
42000,1952,0040000087,"JUN 15, 2001",PHI vs. LAL,L,5,1,3,0.333,0,1,0.0,0,0,,1,0,1,1,0,0,0,0,2,-4,0,1952,Raja Bell,2000-01
42000,1952,0040000086,"JUN 13, 2001",PHI vs. LAL,L,20,0,2,0.0,0,0,,1,2,0.5,0,0,0,1,2,0,1,2,1,-4,0,1952,Raja Bell,2000-01
